t,chi0,chi1,chi2,w0_chi0,w1_chi1,w2_chi2,total_feedback
165.19999999999473,-2.8654994674447916,20.38220157794889,73.88874598484021,-1.4327497337223958,4.076440315589778,7.388874598484022,10.032565180351405
165.29999999999464,-1.952494559578474,21.14207108206291,74.6778738816833,-0.976247279789237,4.228414216412582,7.46778738816833,10.719954324791676
165.39999999999455,-0.7504607159732111,22.20757727290893,75.7762575639662,-0.37523035798660553,4.441515454581786,7.57762575639662,11.643910852991802
165.49999999999446,0.3067731701858099,23.146724805236207,76.7524823797303,0.15338658509290495,4.6293449610472415,7.67524823797303,12.457979784113176
165.59999999999437,0.8459428968554014,23.58077707207142,77.22643663022545,0.4229714484277007,4.716155414414284,7.722643663022545,12.861770525864529
165.69999999999428,1.0574310575041752,23.693150667485302,77.3797285656979,0.5287155287520876,4.73863013349706,7.73797285656979,13.005318518818939
165.79999999999418,1.1889346513572583,23.728444974367367,77.45615385069456,0.5944673256786291,4.745688994873474,7.745615385069456,13.085771705621559
165.8999999999941,1.370255171486498,23.8162121904083,77.5852120883963,0.685127585743249,4.763242438081661,7.758521208839631,13.20689123266454
165.999999999994,1.7231329418614756,24.07968372724023,77.89054897747867,0.8615664709307378,4.815936745448046,7.789054897747867,13.466558114126652
166.0999999999939,2.459123552829411,24.734246830248146,78.58860252110696,1.2295617764147055,4.94684936604963,7.858860252110697,14.035271394575032
166.19999999999382,3.7618109283543966,25.970794244446708,79.87227071811401,1.8809054641771983,5.194158848889342,7.987227071811401,15.062291384877941
166.29999999999373,4.950908111022546,27.11440473150247,81.06815720992677,2.475454055511273,5.422880946300495,8.106815720992676,16.005150722804444
166.39999999999364,5.162339216420187,27.2918773349776,81.3007178643783,2.5811696082100934,5.45837546699552,8.13007178643783,16.169616861643444
166.49999999999355,4.807033998363667,26.901421570837226,80.96479715182535,2.4035169991818335,5.3802843141674455,8.096479715182536,15.880281028531815
166.59999999999346,4.2183850168759625,26.270779566629535,80.38660948940498,2.1091925084379812,5.254155913325907,8.038660948940498,15.402009370704386
166.69999999999337,3.3662709029293922,25.366452578224678,79.53171354202594,1.6831354514646961,5.073290515644936,7.953171354202595,14.709597321312227
166.79999999999328,2.141809063685478,24.074812876585806,78.28515468447331,1.070904531842739,4.814962575317161,7.828515468447332,13.714382575607232
166.89999999999318,0.7960987350360604,22.642411983497695,76.8921845474988,0.3980493675180302,4.528482396699539,7.689218454749881,12.61575021896745
166.9999999999931,-0.0754071546506185,21.66720338795291,75.95132683195192,-0.03770357732530925,4.333440677590582,7.595132683195192,11.890869783460465
167.099999999993,-0.4838826206851594,21.146031360542594,75.46149660212659,-0.2419413103425797,4.229206272108519,7.546149660212659,11.533414621978599
167.1999999999929,-0.7691775059319399,20.74367723464596,75.08867798792343,-0.38458875296596995,4.148735446929193,7.508867798792344,11.273014492755566
167.29999999999282,-1.1622544994002655,20.22936954655601,74.60213096447448,-0.5811272497001327,4.045873909311203,7.460213096447449,10.924959756058518
167.39999999999273,-1.8799211061809857,19.38331431004625,73.7812392076676,-0.9399605530904929,3.87666286200925,7.37812392076676,10.314826229685517
167.49999999999264,-3.1349278539410608,17.986304330031054,72.40502490383237,-1.5674639269705304,3.597260866006211,7.240502490383237,9.270299429418918
167.59999999999255,-4.497084478662352,16.46208456700457,70.89542904104216,-2.248542239331176,3.2924169134009142,7.089542904104217,8.133417578173955
167.69999999999246,-5.039273187204365,15.743271412312273,70.18643978794819,-2.5196365936021823,3.148654282462455,7.018643978794819,7.6476616676550915
167.79999999999237,-4.975551920421416,15.627909428295881,70.07928505730061,-2.487775960210708,3.1255818856591766,7.007928505730061,7.64573443117853
167.89999999999227,-4.701242629172671,15.726649379808226,70.18621309205575,-2.3506213145863355,3.1453298759616453,7.018621309205575,7.813329870580885
167.99999999999218,-4.2747440176493505,15.98351648381634,70.45192019587475,-2.1373720088246753,3.196703296763268,7.045192019587475,8.104523307526067
168.0999999999921,-3.565534212898681,16.53198461843019,71.01070440672481,-1.7827671064493404,3.306396923686038,7.101070440672482,8.62470025790918
168.199999999992,-2.367374722647115,17.58392601351021,72.07599769839547,-1.1836873613235575,3.5167852027020423,7.207599769839547,9.540697611218032
168.2999999999919,-0.9248243637087434,18.901520750961005,73.41186811409288,-0.4624121818543717,3.780304150192201,7.341186811409289,10.659078779747118
168.39999999999182,-0.1772315842500225,19.542562835475568,74.07545573859525,-0.08861579212501125,3.908512567095114,7.407545573859526,11.227442348829628
168.49999999999173,-0.1342095903644342,19.485385761237904,74.04194651481231,-0.0671047951822171,3.897077152247581,7.404194651481231,11.234167008546596
168.59999999999164,-0.3707917755769402,19.147542386395425,73.72692931495976,-0.1853958877884701,3.8295084772790853,7.372692931495976,11.01680552098659
168.69999999999155,-0.7980318061191635,18.614786362784084,73.21529366934088,-0.39901590305958173,3.722957272556817,7.321529366934088,10.645470736431324
168.79999999999146,-1.553983386429508,17.745490150472577,72.3644307151564,-0.776991693214754,3.5490980300945156,7.236443071515641,10.008549408395403
168.89999999999137,-2.8009356123221205,16.37116912423099,71.00415164530817,-1.4004678061610603,3.2742338248461977,7.100415164530817,8.974181183215954
168.99999999999127,-4.106649530667606,14.918518743193399,69.55958823857064,-2.053324765333803,2.98370374863868,6.955958823857064,7.886337807161942
169.09999999999118,-4.6746878292489695,14.189299664317488,68.83382908153118,-2.3373439146244848,2.837859932863498,6.883382908153118,7.383898926392131
169.1999999999911,-4.704372563925014,13.994978993979789,68.6411728471424,-2.352186281962507,2.798995798795958,6.86411728471424,7.310926801547691
169.299999999991,-4.564164415872239,13.972333168403795,68.61979028604254,-2.2820822079361194,2.7944666336807593,6.861979028604255,7.374363454348895
169.3999999999909,-4.34944704207601,14.027616746215935,68.67638709568601,-2.174723521038005,2.8055233492431872,6.867638709568602,7.498438537773784
169.49999999999082,-4.01356455500304,14.208771465588477,68.85926876204202,-2.00678227750152,2.8417542931176953,6.885926876204202,7.720898891820378
169.59999999999073,-3.395144435630295,14.679876687093378,69.33326635802729,-1.6975722178151476,2.9359753374186757,6.933326635802729,8.171729755406258
169.69999999999064,-2.201956257044864,15.739244901169208,70.39836463397423,-1.100978128522432,3.147848980233842,7.039836463397423,9.086707315108832
169.79999999999055,-0.5895995325640794,17.240204999534306,71.91036329673852,-0.2947997662820397,3.4480409999068615,7.191036329673853,10.344277563298675
169.89999999999046,0.14681385667991667,17.8853772787568,72.57139541234379,0.07340692833995834,3.57707545575136,7.2571395412343795,10.907621925325698
169.99999999999037,-0.0419338239743347,17.609735619411182,72.31228655027488,-0.02096691198716735,3.521947123882237,7.231228655027488,10.732208866922557
170.09999999999027,-0.5716411624784132,16.988031221738936,71.70526491978111,-0.2858205812392066,3.3976062443477875,7.170526491978112,10.282312155086693
170.19999999999018,-1.3131863722907877,16.14561850062775,70.87464547322332,-0.6565931861453939,3.2291237001255504,7.087464547322333,9.659995061302489
170.2999999999901,-2.3062920233136137,15.039371312064159,69.77634256733816,-1.1531460116568069,3.007874262412832,6.9776342567338165,8.832362507489842
170.39999999999,-3.42217634506887,13.794853928751388,68.53499285613272,-1.711088172534435,2.758970785750278,6.853499285613272,7.901381898829115
170.4999999999899,-4.298328038794768,12.775215612502778,67.51383703973029,-2.149164019397384,2.555043122500556,6.75138370397303,7.157262807076202
170.59999999998982,-4.829932565948846,12.090201622811255,66.82387118504683,-2.414966282974423,2.4180403245622513,6.682387118504683,6.685461160092511
170.69999999998973,-5.232071114370788,11.528649497822649,66.25493864567132,-2.616035557185394,2.30572989956453,6.625493864567132,6.315188206946268
170.79999999998964,-5.73512218387507,10.86053727397229,65.5770852268611,-2.867561091937535,2.172107454794458,6.55770852268611,5.862254885543033
170.89999999998955,-6.527173111356798,9.894968333568752,64.59863221498215,-3.263586555678399,1.9789936667137504,6.459863221498215,5.175270332533566
170.99999999998946,-7.631544964810565,8.603762539791708,63.290050995275536,-3.8157724824052823,1.7207525079583417,6.329005099527554,4.233985125080613
171.09999999998936,-8.59547702017964,7.437553663272557,62.10133404457753,-4.29773851008982,1.4875107326545116,6.210133404457753,3.399905627022445
171.19999999998927,-9.030340777666208,6.790532136191437,61.42808776297336,-4.515170388833104,1.3581064272382875,6.142808776297336,2.98574481470252
171.29999999998918,-9.154425310541018,6.4513549277770155,61.06078962635666,-4.577212655270509,1.290270985555403,6.106078962635666,2.8191372929205603
171.3999999999891,-9.246531488187172,6.143846987038391,60.723958837860394,-4.623265744093586,1.2287693974076783,6.07239588378604,2.6778995371001324
